chr,start,end,gene_ID,exon_number,strand,gene_name,isoforms
chr3R,6822498,6822796,FBgn0000003,1,+,NA,1
chr2R,22136968,22137208,FBgn0000008,1,+,a,1
chr2R,22138000,22138251,FBgn0000008,2,+,a,1
chr2R,22151654,22151695,FBgn0000008,3,+,a,1
chr2R,22162905,22163694,FBgn0000008,4,+,a,1
chr2R,22164777,22164989,FBgn0000008,5,+,a,1
chr2R,22169244,22170717,FBgn0000008,6,+,a,1
chr2R,22170778,22171985,FBgn0000008,7,+,a,1
chr2R,22172082,22172252,FBgn0000008,8,+,a,1
chr2R,22172316,22172433,FBgn0000008,9,+,a,1
chr2R,22172497,22172834,FBgn0000008,10,+,a,1
chr3R,16828921,16830049,FBgn0000014,1,-,abd-A,1
chr3R,16827135,16827897,FBgn0000014,2,-,abd-A,1
chr3R,16826051,16826307,FBgn0000014,3,-,abd-A,1
chr3R,16822422,16822469,FBgn0000014,4,-,abd-A,1
chr3R,16810132,16810355,FBgn0000014,5,-,abd-A,1
chr3R,16807214,16810061,FBgn0000014,6,-,abd-A,1
chr3R,16971759,16972236,FBgn0000015,1,-,Abd-B,1
chr3R,16943253,16943299,FBgn0000015,2,-,Abd-B,1
chr3R,16935927,16936104,FBgn0000015,3,-,Abd-B,1
chr3R,16931402,16931613,FBgn0000015,4,-,Abd-B,1
chr3R,16931116,16931317,FBgn0000015,5,-,Abd-B,1
chr3R,16929638,16929852,FBgn0000015,6,-,Abd-B,1
chr3R,16927210,16929580,FBgn0000015,7,-,Abd-B,1
chr3L,16646810,16647882,FBgn0000017,1,-,Abl,1
chr3L,16631377,16631430,FBgn0000017,2,-,Abl,1
chr3L,16628663,16629206,FBgn0000017,3,-,Abl,1
chr3L,16628174,16628589,FBgn0000017,4,-,Abl,1
chr3L,16627502,16628088,FBgn0000017,5,-,Abl,1
chr3L,16626922,16627192,FBgn0000017,6,-,Abl,1
chr3L,16626743,16626863,FBgn0000017,7,-,Abl,1
chr3L,16626528,16626616,FBgn0000017,8,-,Abl,1
chr3L,16615866,16625274,FBgn0000017,9,-,Abl,1
chr2L,10974268,10975293,FBgn0000018,1,-,abo,1
chr2L,10973443,10974210,FBgn0000018,2,-,abo,1
chrX,370031,370947,FBgn0000022,1,+,ac,1
chr3R,13258303,13258777,FBgn0000024,1,-,Ace,1
chr3R,13245810,13246654,FBgn0000024,2,-,Ace,1
chr3R,13244261,13244399,FBgn0000024,3,-,Ace,1
chr3R,13243586,13244131,FBgn0000024,4,-,Ace,1
chr3R,13243219,13243426,FBgn0000024,5,-,Ace,1
